Institution	Category	Area	Value
Arizona State University	Metaphysics & Epistemology	Philosophy of Language	
Arizona State University	Metaphysics & Epistemology	Philosophy of Mind	
Arizona State University	Metaphysics & Epistemology	Metaphysics	
Arizona State University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Arizona State University	Metaphysics & Epistemology	Philosophical Logic	
Arizona State University	Metaphysics & Epistemology	Philosophy of Action	
Arizona State University	Metaphysics & Epistemology	Philosophy of Religion	
Arizona State University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Arizona State University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Arizona State University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Arizona State University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Arizona State University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Arizona State University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	4
Arizona State University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Arizona State University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Arizona State University	Theory of Value	Normative Ethics	3
Arizona State University	Theory of Value	Metaethics & Moral Psychology	4
Arizona State University	Theory of Value	Applied Ethics	4
Arizona State University	Theory of Value	Political Philosophy	4
Arizona State University	Theory of Value	Philosophy of Law	
Arizona State University	Theory of Value	Philosophy of Art	
Arizona State University	History of Philosophy	Acnient Philosophy	
Arizona State University	History of Philosophy	Medieval Philosophy	
Arizona State University	History of Philosophy	Early Modern: 17th Century	
Arizona State University	History of Philosophy	Early Modern: 18th Century	
Arizona State University	History of Philosophy	Kant	
Arizona State University	History of Philosophy	19th Century Continental	
Arizona State University	History of Philosophy	20th Century Continental	
Arizona State University	History of Philosophy	History of Analytic	
Arizona State University	History of Philosophy	American Pragmatism	
Arizona State University	Other Areas	Feminist Philosophy	2
Arizona State University	Other Areas	Chinese Philosophy	
Arizona State University	Other Areas	Philosophy of Race	
Australian Catholic University/Dianoia Institute	Metaphysics & Epistemology	Philosophy of Language	2
Australian Catholic University/Dianoia Institute	Metaphysics & Epistemology	Philosophy of Mind	
Australian Catholic University/Dianoia Institute	Metaphysics & Epistemology	Metaphysics	3
Australian Catholic University/Dianoia Institute	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	3
Australian Catholic University/Dianoia Institute	Metaphysics & Epistemology	Philosophical Logic	3
Australian Catholic University/Dianoia Institute	Metaphysics & Epistemology	Philosophy of Action	
Australian Catholic University/Dianoia Institute	Metaphysics & Epistemology	Philosophy of Religion	4
Australian Catholic University/Dianoia Institute	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Australian Catholic University/Dianoia Institute	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Australian Catholic University/Dianoia Institute	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Australian Catholic University/Dianoia Institute	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Australian Catholic University/Dianoia Institute	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Australian Catholic University/Dianoia Institute	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Australian Catholic University/Dianoia Institute	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	4
Australian Catholic University/Dianoia Institute	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Australian Catholic University/Dianoia Institute	Theory of Value	Normative Ethics	4
Australian Catholic University/Dianoia Institute	Theory of Value	Metaethics & Moral Psychology	4
Australian Catholic University/Dianoia Institute	Theory of Value	Applied Ethics	
Australian Catholic University/Dianoia Institute	Theory of Value	Political Philosophy	
Australian Catholic University/Dianoia Institute	Theory of Value	Philosophy of Law	
Australian Catholic University/Dianoia Institute	Theory of Value	Philosophy of Art	
Australian Catholic University/Dianoia Institute	History of Philosophy	Acnient Philosophy	
Australian Catholic University/Dianoia Institute	History of Philosophy	Medieval Philosophy	
Australian Catholic University/Dianoia Institute	History of Philosophy	Early Modern: 17th Century	
Australian Catholic University/Dianoia Institute	History of Philosophy	Early Modern: 18th Century	
Australian Catholic University/Dianoia Institute	History of Philosophy	Kant	
Australian Catholic University/Dianoia Institute	History of Philosophy	19th Century Continental	
Australian Catholic University/Dianoia Institute	History of Philosophy	20th Century Continental	
Australian Catholic University/Dianoia Institute	History of Philosophy	History of Analytic	4
Australian Catholic University/Dianoia Institute	History of Philosophy	American Pragmatism	
Australian Catholic University/Dianoia Institute	Other Areas	Feminist Philosophy	
Australian Catholic University/Dianoia Institute	Other Areas	Chinese Philosophy	
Australian Catholic University/Dianoia Institute	Other Areas	Philosophy of Race	
Australian National University	Metaphysics & Epistemology	Philosophy of Language	4
Australian National University	Metaphysics & Epistemology	Philosophy of Mind	3
Australian National University	Metaphysics & Epistemology	Metaphysics	4
Australian National University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	3
Australian National University	Metaphysics & Epistemology	Philosophical Logic	
Australian National University	Metaphysics & Epistemology	Philosophy of Action	
Australian National University	Metaphysics & Epistemology	Philosophy of Religion	
Australian National University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	4
Australian National University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Australian National University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	2
Australian National University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	2
Australian National University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
Australian National University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	2
Australian National University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Australian National University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Australian National University	Theory of Value	Normative Ethics	3
Australian National University	Theory of Value	Metaethics & Moral Psychology	4
Australian National University	Theory of Value	Applied Ethics	3
Australian National University	Theory of Value	Political Philosophy	3
Australian National University	Theory of Value	Philosophy of Law	
Australian National University	Theory of Value	Philosophy of Art	
Australian National University	History of Philosophy	Acnient Philosophy	
Australian National University	History of Philosophy	Medieval Philosophy	
Australian National University	History of Philosophy	Early Modern: 17th Century	
Australian National University	History of Philosophy	Early Modern: 18th Century	
Australian National University	History of Philosophy	Kant	
Australian National University	History of Philosophy	19th Century Continental	
Australian National University	History of Philosophy	20th Century Continental	
Australian National University	History of Philosophy	History of Analytic	
Australian National University	History of Philosophy	American Pragmatism	
Australian National University	Other Areas	Feminist Philosophy	
Australian National University	Other Areas	Chinese Philosophy	
Australian National University	Other Areas	Philosophy of Race	
Birkbeck College, University of London	Metaphysics & Epistemology	Philosophy of Language	
Birkbeck College, University of London	Metaphysics & Epistemology	Philosophy of Mind	
Birkbeck College, University of London	Metaphysics & Epistemology	Metaphysics	
Birkbeck College, University of London	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Birkbeck College, University of London	Metaphysics & Epistemology	Philosophical Logic	
Birkbeck College, University of London	Metaphysics & Epistemology	Philosophy of Action	
Birkbeck College, University of London	Metaphysics & Epistemology	Philosophy of Religion	
Birkbeck College, University of London	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Birkbeck College, University of London	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Birkbeck College, University of London	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Birkbeck College, University of London	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Birkbeck College, University of London	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Birkbeck College, University of London	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Birkbeck College, University of London	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Birkbeck College, University of London	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Birkbeck College, University of London	Theory of Value	Normative Ethics	
Birkbeck College, University of London	Theory of Value	Metaethics & Moral Psychology	
Birkbeck College, University of London	Theory of Value	Applied Ethics	
Birkbeck College, University of London	Theory of Value	Political Philosophy	
Birkbeck College, University of London	Theory of Value	Philosophy of Law	
Birkbeck College, University of London	Theory of Value	Philosophy of Art	2
Birkbeck College, University of London	History of Philosophy	Acnient Philosophy	
Birkbeck College, University of London	History of Philosophy	Medieval Philosophy	
Birkbeck College, University of London	History of Philosophy	Early Modern: 17th Century	
Birkbeck College, University of London	History of Philosophy	Early Modern: 18th Century	
Birkbeck College, University of London	History of Philosophy	Kant	
